trial,list,word,condition,set,length,frequency,n_density,old20,target_word_trigger,condition_trigger
1,1,ended,sparse_neighbourhood,30,5,4.92,0,1.95,40,101
2,1,blows,dense_neighbourhood,55,5,4.04,5,1.6,41,102
3,1,brake,dense_neighbourhood,72,5,3.95,5,1.6,42,102
4,1,bucks,dense_neighbourhood,79,5,4.19,5,1.65,43,102
5,1,bears,dense_neighbourhood,34,5,4.34,14,1.1,44,102
6,1,backs,dense_neighbourhood,10,5,4.1,9,1.45,45,102
7,1,betty,dense_neighbourhood,45,5,3.92,6,1.65,46,102
8,1,bands,dense_neighbourhood,19,5,4.37,9,1.4,47,102
9,1,athens,sparse_neighbourhood,15,6,3.92,1,2.05,48,101
10,1,boobs,dense_neighbourhood,61,5,3.9,5,1.65,49,102
11,1,bread,dense_neighbourhood,75,5,4.5,5,1.5,50,102
12,1,eddie,sparse_neighbourhood,32,5,4.14,0,2.15,51,101
13,1,brown,dense_neighbourhood,78,5,5.01,6,1.55,52,102
14,1,dress,sparse_neighbourhood,49,5,4.76,1,1.9,53,101
15,1,beans,dense_neighbourhood,32,5,4.14,8,1.5,54,102
16,1,taxi,sparse_neighbourhood,65,4,4.19,1,1.8,55,101
17,1,buzz,sparse_neighbourhood,69,4,4.05,1,1.95,56,101
18,1,fifa,sparse_neighbourhood,2,4,4.21,1,1.85,57,101
19,1,duties,sparse_neighbourhood,73,6,4.32,0,2.1,58,101
20,1,ryan,sparse_neighbourhood,40,4,4.59,0,1.8,59,101
21,1,bitter,dense_neighbourhood,51,6,4.21,9,1.55,60,102
22,1,exam,sparse_neighbourhood,58,4,4.26,0,1.95,61,101
23,1,plea,sparse_neighbourhood,7,4,3.95,1,1.7,62,101
24,1,agent,sparse_neighbourhood,25,5,4.81,1,1.85,63,101
25,1,backup,sparse_neighbourhood,51,6,4.21,0,2.55,64,101
26,1,ebay,sparse_neighbourhood,59,4,4.04,0,1.95,65,101
27,1,bags,dense_neighbourhood,11,4,4.43,12,1.25,66,102
28,1,bitch,dense_neighbourhood,49,5,4.76,9,1.45,67,102
29,1,olds,sparse_neighbourhood,31,4,3.98,1,1.6,68,101
30,1,asset,sparse_neighbourhood,14,5,4.23,1,1.8,69,101
31,1,espn,sparse_neighbourhood,6,4,3.93,0,1.95,70,101
32,1,sexy,sparse_neighbourhood,43,4,4.42,0,1.95,71,101
33,1,balls,dense_neighbourhood,18,5,4.52,9,1.5,72,102
34,1,ghana,sparse_neighbourhood,61,5,3.9,0,1.95,73,101
35,1,brick,dense_neighbourhood,77,5,4.25,8,1.5,74,102
36,1,baking,dense_neighbourhood,15,6,3.92,8,1.4,75,102
37,1,outer,sparse_neighbourhood,77,5,4.25,1,1.9,76,101
38,1,cited,sparse_neighbourhood,35,5,4.29,1,1.9,77,101
39,1,bait,dense_neighbourhood,13,4,3.85,8,1.45,78,102
40,1,essex,sparse_neighbourhood,45,5,3.92,0,2.2,79,101
41,1,banned,dense_neighbourhood,20,6,4.41,8,1.6,80,102
42,1,aims,dense_neighbourhood,2,4,4.21,6,1.55,81,102
43,1,allah,sparse_neighbourhood,46,5,3.89,1,1.95,82,101
44,1,billy,dense_neighbourhood,48,5,4.33,9,1.5,83,102
45,1,ballet,dense_neighbourhood,17,6,3.95,5,1.75,84,102
46,1,forum,sparse_neighbourhood,5,5,4.38,0,1.9,85,101
47,1,iraq,sparse_neighbourhood,11,4,4.43,1,1.85,86,101
48,1,helen,sparse_neighbourhood,79,5,4.19,0,1.85,87,101
49,1,blake,dense_neighbourhood,52,5,4.16,6,1.6,88,102
50,1,array,sparse_neighbourhood,10,5,4.1,0,1.95,89,101
51,1,blogs,sparse_neighbourhood,72,5,3.95,1,1.85,90,101
52,1,cliff,sparse_neighbourhood,42,5,4.1,0,1.95,91,101
53,1,alot,dense_neighbourhood,6,4,3.93,5,1.6,92,102
54,1,began,dense_neighbourhood,39,5,5.07,5,1.65,93,102
55,1,books,dense_neighbourhood,63,5,5.15,6,1.5,94,102
56,1,opera,sparse_neighbourhood,60,5,4.27,0,1.95,95,101
57,1,boats,dense_neighbourhood,56,5,4.25,6,1.45,96,102
58,1,adjust,sparse_neighbourhood,71,6,4.07,0,2.55,97,101
59,1,adams,sparse_neighbourhood,1,5,4.25,0,1.9,98,101
60,1,idaho,sparse_neighbourhood,27,5,3.91,0,2.8,99,101
