trial,list,set,condition,prime,target,condition_trigger,item_trigger
1,1,11,related,pepper,salt,101,42
1,2,2,related,foot,hand,101,44
2,1,2,unrelated,cloud,hand,102,44
2,2,10,related,star,moon,101,41
3,1,5,related,dog,cat,101,47
3,2,11,unrelated,engine,salt,102,42
4,1,4,unrelated,tractor,cup,102,46
4,2,12,related,night,day,101,43
5,1,6,unrelated,pencil,king,102,48
5,2,7,unrelated,planet,bread,102,49
6,1,9,related,white,black,101,51
6,2,1,unrelated,window,doctor,102,40
7,1,3,related,south,north,101,45
7,2,3,unrelated,lemon,north,102,45
8,1,1,related,nurse,doctor,101,40
8,2,6,related,queen,king,101,48
9,1,12,unrelated,carpet,day,102,43
9,2,4,related,saucer,cup,101,46
10,1,7,related,butter,bread,101,49
10,2,9,unrelated,river,black,102,51
11,1,8,unrelated,paper,hot,102,50
11,2,8,related,cold,hot,101,50
12,1,10,unrelated,chair,moon,102,41
12,2,5,unrelated,table,cat,102,47
