trial,list,set,condition,word,condition_trigger,item_trigger
1,1,30,sparse_neighbourhood,nazi,101,63
2,1,55,dense_neighbourhood,bruto,102,90
3,1,72,dense_neighbourhood,capas,102,109
4,1,79,dense_neighbourhood,carro,102,116
5,1,34,dense_neighbourhood,bang,102,67
6,1,10,dense_neighbourhood,alza,102,41
7,1,45,dense_neighbourhood,bella,102,79
8,1,19,dense_neighbourhood,arma,102,50
9,1,15,sparse_neighbourhood,bosque,101,46
10,1,61,dense_neighbourhood,cali,102,97
11,1,75,dense_neighbourhood,cargas,102,112
12,1,32,sparse_neighbourhood,unión,101,65
13,1,78,dense_neighbourhood,caros,102,115
14,1,49,sparse_neighbourhood,diosa,101,83
15,1,32,dense_neighbourhood,banda,102,65
16,1,65,sparse_neighbourhood,trans,101,101
17,1,69,sparse_neighbourhood,armada,101,105
18,1,2,sparse_neighbourhood,honor,101,51
19,1,73,sparse_neighbourhood,ojos,101,110
20,1,40,sparse_neighbourhood,dirige,101,74
21,1,51,dense_neighbourhood,bono,102,86
22,1,58,sparse_neighbourhood,flaco,101,93
23,1,7,sparse_neighbourhood,from,101,106
24,1,25,sparse_neighbourhood,spam,101,57
25,1,51,sparse_neighbourhood,sofá,101,86
26,1,59,sparse_neighbourhood,jazz,101,94
27,1,11,dense_neighbourhood,amaba,102,42
28,1,49,dense_neighbourhood,bodas,102,83
29,1,31,sparse_neighbourhood,brown,101,64
30,1,14,sparse_neighbourhood,apps,101,45
31,1,6,sparse_neighbourhood,off,101,95
32,1,43,sparse_neighbourhood,frase,101,77
33,1,18,dense_neighbourhood,arias,102,49
34,1,61,sparse_neighbourhood,gays,101,97
35,1,77,dense_neighbourhood,caro,102,114
36,1,15,dense_neighbourhood,amplia,102,46
37,1,77,sparse_neighbourhood,once,101,114
38,1,35,sparse_neighbourhood,aguja,101,68
39,1,13,dense_neighbourhood,aman,102,44
40,1,45,sparse_neighbourhood,extra,101,79
41,1,20,dense_neighbourhood,asado,102,52
42,1,2,dense_neighbourhood,acaba,102,51
43,1,46,sparse_neighbourhood,flujo,101,80
