item,condition,prime,target
1,related,nurse,doctor
1,unrelated,window,doctor
2,related,dog,cat
2,unrelated,table,cat
3,related,queen,king
3,unrelated,pencil,king
4,related,butter,bread
4,unrelated,planet,bread
5,related,cold,hot
5,unrelated,paper,hot
6,related,white,black
6,unrelated,river,black
7,related,star,moon
7,unrelated,chair,moon
8,related,pepper,salt
8,unrelated,engine,salt
9,related,night,day
9,unrelated,carpet,day
10,related,foot,hand
10,unrelated,cloud,hand
11,related,south,north
11,unrelated,lemon,north
12,related,saucer,cup
12,unrelated,tractor,cup
