word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
balas,4.14,spanish,wordfreq,7,1.5,2999,5,2,4.14,dense_neighbourhood,31,1,1
cifra,4.4,spanish,wordfreq,0,1.95,5194,5,2,4.4,sparse_neighbourhood,79,1,2
ancho,4.36,spanish,wordfreq,1,1.7,1498,5,2,4.36,sparse_neighbourhood,70,1,3
semi,3.94,spanish,wordfreq,1,1.85,25748,4,2,3.94,sparse_neighbourhood,1,1,4
cartas,4.65,spanish,wordfreq,5,1.5,4563,6,2,4.65,dense_neighbourhood,80,1,5
bono,3.96,spanish,wordfreq,7,1.4,3592,4,2,3.96,dense_neighbourhood,51,1,6
bonos,4.08,spanish,wordfreq,6,1.6,3593,5,2,4.08,dense_neighbourhood,52,1,7
cali,3.98,spanish,wordfreq,6,1.55,4081,4,2,3.98,dense_neighbourhood,61,1,8
spam,3.92,spanish,wordfreq,1,1.8,26603,4,1,3.92,sparse_neighbourhood,25,1,9
bolas,4.35,spanish,wordfreq,7,1.45,3523,5,2,4.35,dense_neighbourhood,50,1,10
auge,3.97,spanish,wordfreq,0,1.95,2671,4,2,3.97,sparse_neighbourhood,28,1,11
bomba,4.52,spanish,wordfreq,1,1.8,3562,5,2,4.52,sparse_neighbourhood,36,1,12
busco,4.31,spanish,wordfreq,5,1.7,3877,5,2,4.31,dense_neighbourhood,56,1,13
autos,4.57,spanish,wordfreq,5,1.7,2765,5,2,4.57,dense_neighbourhood,23,1,14
bares,4.0,spanish,wordfreq,6,1.6,3089,5,2,4.0,dense_neighbourhood,37,1,15
bruto,4.0,spanish,wordfreq,5,1.7,3772,5,2,4.0,dense_neighbourhood,55,1,16
alza,4.13,spanish,wordfreq,6,1.6,1300,4,2,4.13,dense_neighbourhood,10,1,17
barca,3.8,spanish,wordfreq,5,1.65,3084,5,2,3.8,dense_neighbourhood,35,1,18
abra,3.94,spanish,wordfreq,5,1.3,80,4,2,3.94,dense_neighbourhood,1,1,19
cajas,4.34,spanish,wordfreq,11,1.4,4040,5,2,4.34,dense_neighbourhood,60,1,20
basada,4.41,spanish,wordfreq,6,1.6,3130,6,3,4.41,dense_neighbourhood,40,1,21
bordo,4.26,spanish,wordfreq,6,1.7,3608,5,2,4.26,dense_neighbourhood,53,1,22
basan,3.82,spanish,wordfreq,5,1.65,3135,5,2,3.82,dense_neighbourhood,42,1,23
línea,5.27,spanish,wordfreq,1,1.95,17337,5,2,5.27,sparse_neighbourhood,64,1,24
billy,3.82,spanish,wordfreq,1,1.9,3399,5,2,3.82,sparse_neighbourhood,42,1,25
cara,5.27,spanish,wordfreq,36,1.0,4410,4,2,5.27,dense_neighbourhood,73,1,26
bajas,4.43,spanish,wordfreq,8,1.55,2980,5,2,4.43,dense_neighbourhood,27,1,27
camina,3.99,spanish,wordfreq,7,1.5,4198,6,3,3.99,dense_neighbourhood,67,1,28
psoe,4.41,spanish,wordfreq,0,1.95,23089,4,1,4.41,sparse_neighbourhood,48,1,29
