word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,bigram_freq,condition,set,list,trial
started,5.39,english,wordfreq,3,1.7,25539,7,2,5.39,0.010811625,high_frequency,26,1,1
season,5.48,english,wordfreq,1,1.9,23715,6,2,5.48,0.007722012,high_frequency,34,1,2
post,5.43,english,wordfreq,11,1.2,20496,4,1,5.43,0.006266996,high_frequency,30,1,3
feast,3.95,english,wordfreq,3,1.6,9989,5,1,3.95,0.006424452,low_frequency,11,1,4
leave,5.34,english,wordfreq,2,1.85,15313,5,2,5.34,0.006339068,high_frequency,20,1,5
march,5.26,english,wordfreq,5,1.6,16359,5,1,5.26,0.006443732,high_frequency,11,1,6
jill,3.81,english,wordfreq,11,1.4,14445,4,1,3.81,0.003846867,low_frequency,55,1,7
between,5.77,english,wordfreq,0,3.2,2628,7,2,5.77,0.004476688,high_frequency,49,1,8
nailed,3.77,english,wordfreq,7,1.65,17828,6,2,3.77,0.008159398,low_frequency,29,1,9
khan,4.25,english,wordfreq,4,1.7,14805,4,1,4.25,0.006278014,low_frequency,30,1,10
third,5.32,english,wordfreq,0,1.95,27010,5,1,5.32,0.003451163,high_frequency,18,1,11
front,5.28,english,wordfreq,1,1.85,10894,5,1,5.28,0.009008004,high_frequency,13,1,12
prof,4.12,english,wordfreq,7,1.55,20922,4,1,4.12,0.004287558,low_frequency,48,1,13
isle,3.83,english,wordfreq,2,1.8,14211,4,2,3.83,0.007012499,low_frequency,52,1,14
many,5.91,english,wordfreq,8,1.3,16342,4,2,5.91,0.007012499,high_frequency,52,1,15
myself,5.31,english,wordfreq,0,2.9,17793,6,2,5.31,0.003123399,high_frequency,17,1,16
know,6.1,english,wordfreq,5,1.6,14942,4,1,6.1,0.001878446,high_frequency,56,1,17
fencing,3.56,english,wordfreq,0,2.0,10064,7,2,3.56,0.010604133,low_frequency,8,1,18
swan,3.84,english,wordfreq,11,1.2,26333,4,1,3.84,0.005648193,low_frequency,46,1,19
damon,3.72,english,wordfreq,2,1.85,6755,5,2,3.72,0.006675095,low_frequency,37,1,20
zelda,3.55,english,wordfreq,0,2.15,29956,5,2,3.55,0.002883773,low_frequency,32,1,21
maybe,5.45,english,wordfreq,0,2.0,16618,5,2,5.45,0.002904431,high_frequency,32,1,22
school,5.71,english,wordfreq,0,2.5,23557,6,1,5.71,0.004015799,high_frequency,47,1,23
works,5.29,english,wordfreq,3,1.8,29670,5,1,5.29,0.003360271,high_frequency,15,1,24
docs,3.5,english,wordfreq,5,1.6,8004,4,1,3.5,0.001720532,low_frequency,41,1,25
drafts,3.58,english,wordfreq,2,1.85,8205,6,1,3.58,0.003643415,low_frequency,54,1,26
stiff,3.9,english,wordfreq,3,1.8,25668,5,1,3.9,0.007776823,low_frequency,9,1,27
kitty,3.98,english,wordfreq,2,1.9,14903,5,2,3.98,0.003524153,low_frequency,1,1,28
freed,3.85,english,wordfreq,7,1.45,10818,5,1,3.85,0.009001118,low_frequency,13,1,29
monkeys,3.86,english,wordfreq,1,2.4,17431,7,2,3.86,0.004480361,low_frequency,49,1,30
emma,4.23,english,wordfreq,2,1.8,8864,4,2,4.23,0.003923988,low_frequency,31,1,31
mercy,4.25,english,wordfreq,5,1.75,16880,5,2,4.25,0.007482111,low_frequency,16,1,32
total,5.21,english,wordfreq,1,1.9,27365,5,2,5.21,0.006597974,high_frequency,4,1,33
roots,4.34,english,wordfreq,4,1.7,23006,5,1,4.34,0.004537742,low_frequency,58,1,34
