item,condition,prime,target,soa_ms,set,list,trial,iti_ms
8,related,pepper,salt,250,11,1,1,670
10,unrelated,cloud,hand,60,2,1,2,667
2,related,dog,cat,250,5,1,3,800
12,unrelated,tractor,cup,1200,4,1,4,605
3,unrelated,pencil,king,1200,6,1,5,536
6,related,white,black,1200,9,1,6,560
11,related,south,north,250,3,1,7,518
1,related,nurse,doctor,60,1,1,8,750
9,unrelated,carpet,day,1200,12,1,9,544
4,related,butter,bread,60,7,1,10,625
5,unrelated,paper,hot,250,8,1,11,610
7,unrelated,chair,moon,60,10,1,12,776
10,related,foot,hand,60,2,2,1,563
7,related,star,moon,60,10,2,2,652
8,unrelated,engine,salt,250,11,2,3,749
9,related,night,day,1200,12,2,4,793
4,unrelated,planet,bread,60,7,2,5,446
1,unrelated,window,doctor,60,1,2,6,760
11,unrelated,lemon,north,250,3,2,7,543
3,related,queen,king,1200,6,2,8,791
12,related,saucer,cup,1200,4,2,9,578
6,unrelated,river,black,1200,9,2,10,796
5,related,cold,hot,250,8,2,11,778
2,unrelated,table,cat,250,5,2,12,515
