word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,bigram_freq,condition,set,list,trial
hard,5.53,english,wordfreq,13,1,12180,4,1,5.53,0.006404712,high_frequency,38,1,56
prof,4.12,english,wordfreq,7,1.55,20922,4,1,4.12,0.004287558,low_frequency,48,1,57
went,5.5,english,wordfreq,16,1,29290,4,1,5.5,0.008722014,high_frequency,36,1,58
khan,4.25,english,wordfreq,4,1.7,14805,4,1,4.25,0.006278014,low_frequency,30,1,59
myself,5.31,english,wordfreq,0,2.9,17793,6,2,5.31,0.003123399,high_frequency,17,1,60
sails,3.52,english,wordfreq,8,1.5,23275,5,1,3.52,0.003358893,low_frequency,15,1,61
nothing,5.55,english,wordfreq,0,2.25,18358,7,2,5.55,0.009104864,high_frequency,40,1,62
phone,5.3,english,wordfreq,3,1.65,19923,5,2,5.3,0.007488996,high_frequency,16,1,63
white,5.51,english,wordfreq,6,1.6,29387,5,2,5.51,0.006675095,high_frequency,37,1,64
many,5.91,english,wordfreq,8,1.3,16342,4,2,5.91,0.007012499,high_frequency,52,1,65
sticker,3.71,english,wordfreq,0,1.9,25663,7,2,3.71,0.01060046,low_frequency,26,1,66
live,5.54,english,wordfreq,12,1,15709,4,2,5.54,0.006246798,high_frequency,39,1,67
while,5.86,english,wordfreq,5,1.7,29358,5,2,5.86,0.005222191,high_frequency,51,1,68
children,5.47,english,wordfreq,0,3.2,4640,8,2,5.47,0.006798449,high_frequency,33,1,69
hope,5.44,english,wordfreq,13,1.15,12823,4,2,5.44,0.003900117,high_frequency,31,1,70
comes,5.36,english,wordfreq,11,1.35,5278,5,2,5.36,0.009017644,high_frequency,22,1,71
damon,3.72,english,wordfreq,2,1.85,6755,5,2,3.72,0.006675095,low_frequency,37,1,72
lima,3.58,english,wordfreq,11,1.35,15596,4,2,3.58,0.006243126,low_frequency,39,1,73
given,5.41,english,wordfreq,2,1.85,11411,5,2,5.41,0.00638176,high_frequency,28,1,74
which,6.3,english,wordfreq,0,2,29354,5,1,6.3,0.00453912,high_frequency,58,1,75
help,5.75,english,wordfreq,7,1.55,12458,4,1,5.75,0.004289395,high_frequency,48,1,76
subs,3.7,english,wordfreq,11,1.3,25980,4,1,3.7,0.001744403,low_frequency,43,1,77
genes,4.14,english,wordfreq,2,1.8,11247,5,2,4.14,0.010555932,low_frequency,35,1,78
nailed,3.77,english,wordfreq,7,1.65,17828,6,2,3.77,0.008159398,low_frequency,29,1,79
monkeys,3.86,english,wordfreq,1,2.4,17431,7,2,3.86,0.004480361,low_frequency,49,1,80
clerk,4,english,wordfreq,1,1.9,4940,5,1,4,0.008823465,low_frequency,10,1,81
leave,5.34,english,wordfreq,2,1.85,15313,5,2,5.34,0.006339068,high_frequency,20,1,82
used,5.8,english,wordfreq,2,1.75,28423,4,2,5.8,0.009105782,high_frequency,50,1,83
days,5.61,english,wordfreq,13,1.25,6858,4,1,5.61,0.001748075,high_frequency,43,1,84
pens,3.75,english,wordfreq,15,1.05,19689,4,1,3.75,0.008744048,low_frequency,36,1,85
should,5.99,english,wordfreq,0,1.95,24277,6,1,5.99,0.003645618,high_frequency,54,1,86
example,5.27,english,wordfreq,0,2.75,9448,7,3,5.27,0.003877165,high_frequency,12,1,87
others,5.42,english,wordfreq,1,1.8,18958,6,2,5.42,0.00816711,high_frequency,29,1,88
bowling,4.05,english,wordfreq,3,1.8,3201,7,2,4.05,0.009103028,low_frequency,40,1,89
drum,4.11,english,wordfreq,1,1.8,8318,4,1,4.11,0.001887627,low_frequency,56,1,90
feast,3.95,english,wordfreq,3,1.6,9989,5,1,3.95,0.006424452,low_frequency,11,1,91
swan,3.84,english,wordfreq,11,1.2,26333,4,1,3.84,0.005648193,low_frequency,46,1,92
however,5.58,english,wordfreq,0,2.75,12937,7,3,5.58,0.006353298,high_frequency,42,1,93
history,5.39,english,wordfreq,0,2.7,12669,7,3,5.39,0.00708503,high_frequency,25,1,94
yuri,3.62,english,wordfreq,1,1.9,29933,4,2,3.62,0.005236881,low_frequency,24,1,95
manly,3.66,english,wordfreq,3,1.75,16307,5,2,3.66,0.006322542,low_frequency,20,1,96
fewer,4.31,english,wordfreq,3,1.85,10112,5,2,4.31,0.006596597,low_frequency,4,1,97
morning,5.33,english,wordfreq,1,1.8,17509,7,2,5.33,0.010182722,high_frequency,19,1,98
else,5.38,english,wordfreq,3,1.75,8783,4,2,5.38,0.005231372,high_frequency,24,1,99
fencing,3.56,english,wordfreq,0,2,10064,7,2,3.56,0.010604133,low_frequency,8,1,100
each,5.69,english,wordfreq,3,1.55,8475,4,1,5.69,0.005650029,high_frequency,46,1,101
toni,3.56,english,wordfreq,6,1.6,27297,4,2,3.56,0.009058041,low_frequency,50,1,102
with,6.85,english,wordfreq,4,1.65,29566,4,1,6.85,0.004564827,high_frequency,60,1,103
front,5.28,english,wordfreq,1,1.85,10894,5,1,5.28,0.009008004,high_frequency,13,1,104
season,5.48,english,wordfreq,1,1.9,23715,6,2,5.48,0.007722012,high_frequency,34,1,105
wants,5.24,english,wordfreq,5,1.65,29056,5,1,5.24,0.007769937,high_frequency,9,1,106
chip,4.31,english,wordfreq,9,1.35,4665,4,1,4.31,0.003817488,low_frequency,5,1,107
shot,5.22,english,wordfreq,9,1.25,24273,4,1,5.22,0.003819324,high_frequency,5,1,108
connect,4.38,english,wordfreq,0,1.95,5689,7,2,4.38,0.007326492,low_frequency,3,1,109
lime,3.86,english,wordfreq,15,1.1,15601,4,2,3.86,0.006233945,low_frequency,23,1,110
march,5.26,english,wordfreq,5,1.6,16359,5,1,5.26,0.006443732,high_frequency,11,1,111
please,5.66,english,wordfreq,0,1.8,20219,6,2,5.66,0.006546468,high_frequency,45,1,112
hamas,3.63,english,wordfreq,0,1.95,12075,5,2,3.63,0.005220814,low_frequency,51,1,113
pairing,3.6,english,wordfreq,0,1.9,19225,7,2,3.6,0.010182722,low_frequency,19,1,114
also,6.19,english,wordfreq,2,1.85,829,4,2,6.19,0.005233208,high_frequency,57,1,115
owens,3.63,english,wordfreq,2,1.75,19135,5,2,3.63,0.006328051,low_frequency,14,1,116
tampa,3.92,english,wordfreq,0,2,26575,5,2,3.92,0.004463376,low_frequency,7,1,117
instead,5.24,english,wordfreq,0,2.85,13827,7,2,5.24,0.011494696,high_frequency,8,1,118
slept,4.18,english,wordfreq,1,1.9,24676,5,1,4.18,0.003995141,low_frequency,53,1,119
isle,3.83,english,wordfreq,2,1.8,14211,4,2,3.83,0.007012499,low_frequency,52,1,120
