item,condition,prime,target,set,list,trial
4,related,butter,bread,7,1,1
10,unrelated,cloud,hand,2,1,2
7,unrelated,chair,moon,10,1,3
6,related,white,black,9,1,4
9,unrelated,carpet,day,12,1,5
1,related,nurse,doctor,1,1,6
11,related,south,north,3,1,7
12,unrelated,tractor,cup,4,1,8
3,unrelated,pencil,king,6,1,9
5,unrelated,paper,hot,8,1,10
2,related,dog,cat,5,1,11
8,related,pepper,salt,11,1,12
6,unrelated,river,black,9,2,1
12,related,saucer,cup,4,2,2
5,related,cold,hot,8,2,3
3,related,queen,king,6,2,4
8,unrelated,engine,salt,11,2,5
1,unrelated,window,doctor,1,2,6
2,unrelated,table,cat,5,2,7
7,related,star,moon,10,2,8
9,related,night,day,12,2,9
10,related,foot,hand,2,2,10
4,unrelated,planet,bread,7,2,11
11,unrelated,lemon,north,3,2,12
